,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
119,119,subramanian,50,10100,relaxed_lasso_wrapper,LogisticRegression(),3,Leave-one-out,2,AUC,0.54
120,120,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),4,Leave-one-out,2,AUC,0.543125
121,121,subramanian,50,10100,RFE_wrapper,LogisticRegression(),4,Leave-one-out,2,AUC,0.6803125
122,122,subramanian,50,10100,relieff_wrapper,LogisticRegression(),4,Leave-one-out,2,AUC,0.5284375
123,123,subramanian,50,10100,relaxed_lasso_wrapper,LogisticRegression(),4,Leave-one-out,2,AUC,0.6125
124,124,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),5,Leave-one-out,2,AUC,0.4996875
125,125,subramanian,50,10100,RFE_wrapper,LogisticRegression(),5,Leave-one-out,2,AUC,0.5203125
126,126,subramanian,50,10100,relieff_wrapper,LogisticRegression(),5,Leave-one-out,2,AUC,0.5884375
127,127,subramanian,50,10100,relaxed_lasso_wrapper,LogisticRegression(),5,Leave-one-out,2,AUC,0.5796875
128,128,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),10,Leave-one-out,2,AUC,0.713125
129,129,subramanian,50,10100,RFE_wrapper,LogisticRegression(),10,Leave-one-out,2,AUC,0.4821875
130,130,subramanian,50,10100,relieff_wrapper,LogisticRegression(),10,Leave-one-out,2,AUC,0.5515625
131,131,subramanian,50,10100,relaxed_lasso_wrapper,LogisticRegression(),10,Leave-one-out,2,AUC,0.6646875
132,132,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),20,Leave-one-out,2,AUC,0.7159375
133,133,subramanian,50,10100,RFE_wrapper,LogisticRegression(),20,Leave-one-out,2,AUC,0.49031250000000004
134,134,subramanian,50,10100,relieff_wrapper,LogisticRegression(),20,Leave-one-out,2,AUC,0.661875
135,135,subramanian,50,10100,relaxed_lasso_wrapper,LogisticRegression(),20,Leave-one-out,2,AUC,0.6265625
136,136,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),50,Leave-one-out,2,AUC,0.739375
137,137,subramanian,50,10100,RFE_wrapper,LogisticRegression(),50,Leave-one-out,2,AUC,0.5371874999999999
