,Estimator,Score Time (Mean),Number of features selected (K),Score Function,Fit Time (Mean),Dataset Name
144,KNeighborsClassifier,0.3533165454864502,1,f_classif_wrapper,0.021442294120788574,cll
145,KNeighborsClassifier,0.38598310947418213,1,RFE_wrapper,0.025432109832763672,cll
146,KNeighborsClassifier,0.38523924350738525,1,relieff_wrapper,0.02842390537261963,cll
147,KNeighborsClassifier,0.45674169063568115,1,relaxed_lasso_wrapper,0.025238990783691406,cll
148,KNeighborsClassifier,0.3735160827636719,2,f_classif_wrapper,0.04687511920928955,cll
149,KNeighborsClassifier,0.3558177947998047,2,RFE_wrapper,0.07206070423126221,cll
150,KNeighborsClassifier,0.22765302658081055,2,relieff_wrapper,0.03889584541320801,cll
151,KNeighborsClassifier,0.23563122749328613,2,relaxed_lasso_wrapper,0.027426481246948242,cll
152,KNeighborsClassifier,0.22540438175201416,3,f_classif_wrapper,0.029919743537902832,cll
153,KNeighborsClassifier,0.2942202091217041,3,RFE_wrapper,0.024933457374572754,cll
154,KNeighborsClassifier,0.27901506423950195,3,relieff_wrapper,0.06457352638244629,cll
155,KNeighborsClassifier,0.23338329792022705,3,relaxed_lasso_wrapper,0.0304185152053833,cll
156,KNeighborsClassifier,0.22390854358673096,4,f_classif_wrapper,0.024434804916381836,cll
157,KNeighborsClassifier,0.22815120220184326,4,RFE_wrapper,0.02144300937652588,cll
158,KNeighborsClassifier,0.2495943307876587,4,relieff_wrapper,0.03839755058288574,cll
159,KNeighborsClassifier,0.2468475103378296,4,relaxed_lasso_wrapper,0.03964805603027344,cll
160,KNeighborsClassifier,0.25657570362091064,5,f_classif_wrapper,0.018949270248413086,cll
161,KNeighborsClassifier,0.25607430934906006,5,RFE_wrapper,0.029179096221923828,cll
162,KNeighborsClassifier,0.33461320400238037,5,relieff_wrapper,0.02593851089477539,cll
163,KNeighborsClassifier,0.27577078342437744,5,relaxed_lasso_wrapper,0.02243936061859131,cll
164,KNeighborsClassifier,0.256824254989624,10,f_classif_wrapper,0.032919883728027344,cll
165,KNeighborsClassifier,0.24734783172607422,10,RFE_wrapper,0.02891993522644043,cll
166,KNeighborsClassifier,0.2468475103378296,10,relieff_wrapper,0.023936033248901367,cll
167,KNeighborsClassifier,0.2715357542037964,10,relaxed_lasso_wrapper,0.037154316902160645,cll
168,KNeighborsClassifier,0.2987098693847656,20,f_classif_wrapper,0.019202709197998047,cll
169,KNeighborsClassifier,0.2757711410522461,20,RFE_wrapper,0.024434566497802734,cll
170,KNeighborsClassifier,0.2680385112762451,20,relieff_wrapper,0.028430938720703125,cll
171,KNeighborsClassifier,0.2358764410018921,20,relaxed_lasso_wrapper,0.056104421615600586,cll
172,KNeighborsClassifier,0.21243906021118164,50,f_classif_wrapper,0.03690147399902344,cll
173,KNeighborsClassifier,0.26604950428009033,50,RFE_wrapper,0.05959451198577881,cll
174,KNeighborsClassifier,0.275524377822876,50,relieff_wrapper,0.029175639152526855,cll
175,KNeighborsClassifier,0.3064422607421875,50,relaxed_lasso_wrapper,0.05859696865081787,cll
176,KNeighborsClassifier,0.2822606563568115,100,f_classif_wrapper,0.05086398124694824,cll
177,KNeighborsClassifier,0.22939515113830566,100,RFE_wrapper,0.047872304916381836,cll
178,KNeighborsClassifier,0.22989261150360107,100,relieff_wrapper,0.052359938621520996,cll
179,KNeighborsClassifier,0.2249060869216919,100,relaxed_lasso_wrapper,0.025431394577026367,cll
0,GaussianNB,0.2768099308013916,1,f_classif_wrapper,0.03248715400695801,bladderbatch
1,GaussianNB,0.28056132793426514,1,RFE_wrapper,0.034757256507873535,bladderbatch
2,GaussianNB,0.27405810356140137,1,relieff_wrapper,0.02974414825439453,bladderbatch
3,GaussianNB,0.28576910495758057,1,relaxed_lasso_wrapper,0.057972073554992676,bladderbatch
4,GaussianNB,0.29250776767730713,2,f_classif_wrapper,0.043731689453125,bladderbatch
5,GaussianNB,0.2818014621734619,2,RFE_wrapper,0.027740478515625,bladderbatch
6,GaussianNB,0.22949433326721191,2,relieff_wrapper,0.03146994113922119,bladderbatch
7,GaussianNB,0.24295341968536377,2,relaxed_lasso_wrapper,0.03175640106201172,bladderbatch
8,GaussianNB,0.22088825702667236,3,f_classif_wrapper,0.02276301383972168,bladderbatch
9,GaussianNB,0.27930009365081787,3,RFE_wrapper,0.023525476455688477,bladderbatch
10,GaussianNB,0.279793381690979,3,relieff_wrapper,0.02350795269012451,bladderbatch
11,GaussianNB,0.2948542833328247,3,relaxed_lasso_wrapper,0.031229615211486816,bladderbatch
12,GaussianNB,0.24685406684875488,4,f_classif_wrapper,0.022009611129760742,bladderbatch
13,GaussianNB,0.23337113857269287,4,RFE_wrapper,0.029485464096069336,bladderbatch
14,GaussianNB,0.2508699893951416,4,relieff_wrapper,0.026981353759765625,bladderbatch
15,GaussianNB,0.29984593391418457,4,relaxed_lasso_wrapper,0.028982996940612793,bladderbatch
16,GaussianNB,0.26013052463531494,5,f_classif_wrapper,0.03272998332977295,bladderbatch
17,GaussianNB,0.28184568881988525,5,RFE_wrapper,0.022496700286865234,bladderbatch
18,GaussianNB,0.2483447790145874,5,relieff_wrapper,0.026468396186828613,bladderbatch
19,GaussianNB,0.24334490299224854,5,relaxed_lasso_wrapper,0.023989439010620117,bladderbatch
20,GaussianNB,0.23484480381011963,10,f_classif_wrapper,0.02349269390106201,bladderbatch
21,GaussianNB,0.2328348159790039,10,RFE_wrapper,0.029987812042236328,bladderbatch
22,GaussianNB,0.2557995319366455,10,relieff_wrapper,0.02498483657836914,bladderbatch
23,GaussianNB,0.23931241035461426,10,relaxed_lasso_wrapper,0.023478031158447266,bladderbatch
24,GaussianNB,0.2686871290206909,20,f_classif_wrapper,0.04847896099090576,bladderbatch
25,GaussianNB,0.2375088930130005,20,RFE_wrapper,0.04898560047149658,bladderbatch
26,GaussianNB,0.2508513927459717,20,relieff_wrapper,0.032953739166259766,bladderbatch
27,GaussianNB,0.24186444282531738,20,relaxed_lasso_wrapper,0.025476813316345215,bladderbatch
28,GaussianNB,0.2503300905227661,50,f_classif_wrapper,0.03839743137359619,bladderbatch
29,GaussianNB,0.23836231231689453,50,RFE_wrapper,0.044879913330078125,bladderbatch
30,GaussianNB,0.2837486267089844,50,relieff_wrapper,0.026429414749145508,bladderbatch
31,GaussianNB,0.25108933448791504,50,relaxed_lasso_wrapper,0.03889608383178711,bladderbatch
32,GaussianNB,0.24011898040771484,100,f_classif_wrapper,0.025684833526611328,bladderbatch
33,GaussianNB,0.2448521852493286,100,RFE_wrapper,0.030173182487487793,bladderbatch
34,GaussianNB,0.26530492305755615,100,relieff_wrapper,0.025432109832763672,bladderbatch
35,GaussianNB,0.24709975719451904,100,relaxed_lasso_wrapper,0.02518641948699951,bladderbatch
36,SVC,0.31242620944976807,1,f_classif_wrapper,0.03515911102294922,bladderbatch
37,SVC,0.2523341178894043,1,RFE_wrapper,0.06158900260925293,bladderbatch
38,SVC,0.26380372047424316,1,relieff_wrapper,0.1256723403930664,bladderbatch
39,SVC,0.25384294986724854,1,relaxed_lasso_wrapper,0.03889572620391846,bladderbatch
40,SVC,0.23563337326049805,2,f_classif_wrapper,0.033165574073791504,bladderbatch
41,SVC,0.25732123851776123,2,RFE_wrapper,0.03665614128112793,bladderbatch
42,SVC,0.3251373767852783,2,relieff_wrapper,0.0426408052444458,bladderbatch
43,SVC,0.27128922939300537,2,relaxed_lasso_wrapper,0.08876252174377441,bladderbatch
44,SVC,0.2645529508590698,3,f_classif_wrapper,0.03640246391296387,bladderbatch
45,SVC,0.27777099609375,3,RFE_wrapper,0.027925610542297363,bladderbatch
46,SVC,0.2700446844100952,3,relieff_wrapper,0.03141593933105469,bladderbatch
47,SVC,0.28125500679016113,3,relaxed_lasso_wrapper,0.028423547744750977,bladderbatch
48,SVC,0.26405394077301025,4,f_classif_wrapper,0.031914472579956055,bladderbatch
49,SVC,0.24360871315002441,4,RFE_wrapper,0.055352091789245605,bladderbatch
50,SVC,0.2757761478424072,4,relieff_wrapper,0.052359819412231445,bladderbatch
51,SVC,0.24011850357055664,4,relaxed_lasso_wrapper,0.04886829853057861,bladderbatch
52,SVC,0.23388147354125977,5,f_classif_wrapper,0.031914591789245605,bladderbatch
53,SVC,0.24236667156219482,5,RFE_wrapper,0.03490650653839111,bladderbatch
54,SVC,0.28001201152801514,5,relieff_wrapper,0.029175758361816406,bladderbatch
55,SVC,0.28699302673339844,5,relaxed_lasso_wrapper,0.028922438621520996,bladderbatch
