,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
115,115,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),2,Leave-pair-out,2,MCC,0.0
116,116,cll,22,12625,f_classif_wrapper,LogisticRegression(),3,Leave-pair-out,2,MCC,0.07453559924999299
117,117,cll,22,12625,RFE_wrapper,LogisticRegression(),3,Leave-pair-out,2,MCC,0.0
118,118,cll,22,12625,relieff_wrapper,LogisticRegression(),3,Leave-pair-out,2,MCC,0.07453559924999299
119,119,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),3,Leave-pair-out,2,MCC,0.0
120,120,cll,22,12625,f_classif_wrapper,LogisticRegression(),4,Leave-pair-out,2,MCC,0.2988071523335984
121,121,cll,22,12625,RFE_wrapper,LogisticRegression(),4,Leave-pair-out,2,MCC,0.0
122,122,cll,22,12625,relieff_wrapper,LogisticRegression(),4,Leave-pair-out,2,MCC,0.2242715530836054
123,123,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),4,Leave-pair-out,2,MCC,0.0
124,124,cll,22,12625,f_classif_wrapper,LogisticRegression(),5,Leave-pair-out,2,MCC,0.07453559924999299
125,125,cll,22,12625,RFE_wrapper,LogisticRegression(),5,Leave-pair-out,2,MCC,0.0
126,126,cll,22,12625,relieff_wrapper,LogisticRegression(),5,Leave-pair-out,2,MCC,0.2988071523335984
127,127,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),5,Leave-pair-out,2,MCC,0.2886751345948129
128,128,cll,22,12625,f_classif_wrapper,LogisticRegression(),10,Leave-pair-out,2,MCC,0.2988071523335984
129,129,cll,22,12625,RFE_wrapper,LogisticRegression(),10,Leave-pair-out,2,MCC,0.0
130,130,cll,22,12625,relieff_wrapper,LogisticRegression(),10,Leave-pair-out,2,MCC,0.2988071523335984
131,131,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),10,Leave-pair-out,2,MCC,0.22360679774997896
132,132,cll,22,12625,f_classif_wrapper,LogisticRegression(),20,Leave-pair-out,2,MCC,0.2988071523335984
133,133,cll,22,12625,RFE_wrapper,LogisticRegression(),20,Leave-pair-out,2,MCC,0.0
134,134,cll,22,12625,relieff_wrapper,LogisticRegression(),20,Leave-pair-out,2,MCC,0.2988071523335984
135,135,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),20,Leave-pair-out,2,MCC,0.0
136,136,cll,22,12625,f_classif_wrapper,LogisticRegression(),50,Leave-pair-out,2,MCC,0.2988071523335984
137,137,cll,22,12625,RFE_wrapper,LogisticRegression(),50,Leave-pair-out,2,MCC,0.0
138,138,cll,22,12625,relieff_wrapper,LogisticRegression(),50,Leave-pair-out,2,MCC,0.1976423537605237
139,139,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),50,Leave-pair-out,2,MCC,0.2988071523335984
140,140,cll,22,12625,f_classif_wrapper,LogisticRegression(),100,Leave-pair-out,2,MCC,-0.06549291474156
141,141,cll,22,12625,RFE_wrapper,LogisticRegression(),100,Leave-pair-out,2,MCC,0.07453559924999299
142,142,cll,22,12625,relieff_wrapper,LogisticRegression(),100,Leave-pair-out,2,MCC,0.02988071523335984
143,143,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),100,Leave-pair-out,2,MCC,0.15811388300841897
144,144,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),1,Leave-pair-out,2,MCC,0.3273268353539886
145,145,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),1,Leave-pair-out,2,MCC,0.3273268353539886
146,146,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),1,Leave-pair-out,2,MCC,0.3273268353539886
147,147,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),1,Leave-pair-out,2,MCC,0.07453559924999299
148,148,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),2,Leave-pair-out,2,MCC,0.07453559924999299
149,149,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),2,Leave-pair-out,2,MCC,0.3273268353539886
150,150,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),2,Leave-pair-out,2,MCC,0.3273268353539886
151,151,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),2,Leave-pair-out,2,MCC,-0.1091089451179962
152,152,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),3,Leave-pair-out,2,MCC,0.07453559924999299
153,153,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),3,Leave-pair-out,2,MCC,0.3273268353539886
154,154,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),3,Leave-pair-out,2,MCC,-0.16666666666666666
155,155,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),3,Leave-pair-out,2,MCC,-0.16666666666666666
156,156,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),4,Leave-pair-out,2,MCC,0.07453559924999299
157,157,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),4,Leave-pair-out,2,MCC,0.3273268353539886
158,158,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),4,Leave-pair-out,2,MCC,-0.07453559924999299
159,159,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),4,Leave-pair-out,2,MCC,0.0
160,160,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),5,Leave-pair-out,2,MCC,0.07453559924999299
161,161,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),5,Leave-pair-out,2,MCC,0.3273268353539886
162,162,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),5,Leave-pair-out,2,MCC,0.0
163,163,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),5,Leave-pair-out,2,MCC,0.2886751345948129
164,164,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),10,Leave-pair-out,2,MCC,0.0
165,165,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),10,Leave-pair-out,2,MCC,0.3273268353539886
166,166,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),10,Leave-pair-out,2,MCC,0.0
167,167,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),10,Leave-pair-out,2,MCC,0.16666666666666666
168,168,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),20,Leave-pair-out,2,MCC,0.0
169,169,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),20,Leave-pair-out,2,MCC,0.07453559924999299
170,170,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),20,Leave-pair-out,2,MCC,0.0
171,171,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),20,Leave-pair-out,2,MCC,0.07453559924999299
172,172,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),50,Leave-pair-out,2,MCC,0.0
173,173,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),50,Leave-pair-out,2,MCC,0.07453559924999299
174,174,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),50,Leave-pair-out,2,MCC,0.0
175,175,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),50,Leave-pair-out,2,MCC,0.0
176,176,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),100,Leave-pair-out,2,MCC,-0.22360679774997896
177,177,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),100,Leave-pair-out,2,MCC,0.07453559924999299
178,178,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),100,Leave-pair-out,2,MCC,0.0
179,179,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),100,Leave-pair-out,2,MCC,0.07453559924999299
