,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
199,toy_example,80,44,mrmr_wrapper,LogisticRegression(),15,Leave-one-out,2,ACC,0.765625,,
200,toy_example,80,44,f_classif_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,0.71875,,
201,toy_example,80,44,RFE_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,0.71875,,
202,toy_example,80,44,relieff_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,0.734375,,
203,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,,,
204,toy_example,80,44,mrmr_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,0.703125,,
205,toy_example,80,44,f_classif_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,0.734375,,
206,toy_example,80,44,RFE_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,0.765625,,
207,toy_example,80,44,relieff_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,0.75,,
208,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,,,
209,toy_example,80,44,mrmr_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,0.75,,
210,toy_example,80,44,f_classif_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
211,toy_example,80,44,RFE_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
212,toy_example,80,44,relieff_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
213,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
214,toy_example,80,44,mrmr_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
215,toy_example,80,44,f_classif_wrapper,LogisticRegression(),100,Leave-one-out,2,ACC,,,
216,toy_example,80,44,RFE_wrapper,LogisticRegression(),100,Leave-one-out,2,ACC,,,
217,toy_example,80,44,relieff_wrapper,LogisticRegression(),100,Leave-one-out,2,ACC,,,
218,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),100,Leave-one-out,2,ACC,,,
219,toy_example,80,44,mrmr_wrapper,LogisticRegression(),100,Leave-one-out,2,ACC,,,
220,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),1,Leave-one-out,2,ACC,0.671875,,
221,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),1,Leave-one-out,2,ACC,0.46875,,
222,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),1,Leave-one-out,2,ACC,0.671875,,
223,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),1,Leave-one-out,2,ACC,,,
224,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),1,Leave-one-out,2,ACC,0.578125,,
225,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),2,Leave-one-out,2,ACC,0.71875,,
226,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),2,Leave-one-out,2,ACC,0.578125,,
227,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),2,Leave-one-out,2,ACC,0.703125,,
228,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),2,Leave-one-out,2,ACC,,,
229,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),2,Leave-one-out,2,ACC,0.609375,,
230,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),3,Leave-one-out,2,ACC,0.671875,,
231,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),3,Leave-one-out,2,ACC,0.515625,,
232,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),3,Leave-one-out,2,ACC,0.65625,,
233,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),3,Leave-one-out,2,ACC,,,
234,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),3,Leave-one-out,2,ACC,0.671875,,
235,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),4,Leave-one-out,2,ACC,0.71875,,
236,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),4,Leave-one-out,2,ACC,0.671875,,
237,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),4,Leave-one-out,2,ACC,0.703125,,
238,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),4,Leave-one-out,2,ACC,,,
239,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),4,Leave-one-out,2,ACC,0.65625,,
240,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),5,Leave-one-out,2,ACC,0.71875,,
241,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),5,Leave-one-out,2,ACC,0.671875,,
242,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),5,Leave-one-out,2,ACC,0.71875,,
243,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),5,Leave-one-out,2,ACC,,,
244,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),5,Leave-one-out,2,ACC,0.65625,,
245,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),10,Leave-one-out,2,ACC,0.734375,,
246,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),10,Leave-one-out,2,ACC,0.734375,,
247,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),10,Leave-one-out,2,ACC,0.71875,,
248,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),10,Leave-one-out,2,ACC,,,
249,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),10,Leave-one-out,2,ACC,0.640625,,
